Series,N,NF,Category,Starting Year,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
27,44,6,INDUSTRY    ,1947,1,1550.61,1488.54,1200.03,1451.49,2576.19,2434.2,2586.21,1898.55,2958.18,3290.73,3408.39,3214.71,4205.43,4378.53,4279.68,4799.25,4902.84,5379.84,5527.05,6004.83,5827.71,6496.02,6858.99,6696.84,6831,7366.47,7881.03,7494.66,5813.55,6911.25,7252.59,7425.63,7603.5,6045.72,6064.35,5486.85,5808.27,6467.88,5513.58,6038.31,6552.36,7004.16,6784.11,6343.59,,,
28,43,6,INDUSTRY    ,1947,1,1041,898,854,609.5,745.5,783,765,816.5,879,966.5,878.5,614.5,552,704.5,488.5,532,491,794.5,1190.5,1025.5,725,1259,1182,765.5,794.5,1063.5,2196.5,4614.5,3062,2392,3011,2664,3286.5,4529,5543,2795,2327.5,3205,2813.5,2601,4790,8074.5,9559,,,,
29,43,6,INDUSTRY    ,1947,1,2086,2404,2324,1346,1868,2078,1634,1656,1762,1772,1824,1996,1822,2560,1596,1950,1826,1792,2378,2200,1698,2780,2196,2004,1958,1532,2580,7216,7996,6334,4598,6032,7150,9114,6856,4050,3654,3224,2246,1618,3036,3424,3626,,,,
30,47,6,INDUSTRY    ,1947,1,158.4,157.8,176.6,204.8,264,312.4,364.8,412.2,487,552.6,625.2,630,727.4,777.2,796.6,875.2,1007.2,1169.8,1373.6,1597.8,1975,2279.2,2508.4,2634.2,2713.2,3048.2,3239.2,3258.4,3256.2,3579.8,3895,4535.6,5240.4,5083.6,4977.8,5192.8,5636.6,6102.4,6718,7331,8089.4,8466,8654.2,9158.6,8959,9571,9782.8
31,47,6,INDUSTRY    ,1947,1,122.2,120,135.4,160.6,211.8,251.2,295.8,336,397,448,507.6,507.6,586.2,611.2,621.2,672.4,769.2,882.8,1037.8,1211.8,1509.8,1750.2,2054.4,2083,2128.8,2362.8,2526.4,2594.6,2634.6,2905.4,3132.2,3653.4,4177.8,4001.8,3974.4,4203,4538.2,4873.8,5401.2,6041.8,6493.8,6586.2,6599.6,6804.6,6651.4,6958.6,7072.6
32,47,6,INDUSTRY    ,1947,1,392,528,1692,2276,1244,1626,1152,1888,2346,2192,2084,2182,2186,1718,1844,2206,2404,3252,3894,4212,4158,4004,3832,3788,3642,3716,3974,4240,4212,4020,4528,4898,4726,4272,4370,3538,3912,4134,4186,4160,4378,4666,4694,4990,4486,4782,4796
33,43,6,INDUSTRY    ,1947,1,900,910,1230,2000,3110,4120,6850,4760,3670,3960,3200,3040,3090,1560,1420,1960,2270,1810,1610,1400,1610,2060,2110,2960,3390,3430,3070,3350,2220,2830,3270,3670,2510,2240,2390,2380,3150,4830,5090,5090,2790,2670,4110,,,,
34,43,6,INDUSTRY    ,1947,1,1030,960,950,1310,1960,2160,4750,2770,1570,1800,1500,1700,1970,1910,2240,2190,2130,1600,1640,1450,1520,1190,1250,1980,2080,2390,2710,2340,1990,5130,2970,2960,2220,2620,2970,2890,2590,3290,3660,2640,2590,3370,3070,,,,
35,47,6,INDUSTRY    ,1947,1,1606.5,2520,2245.2,2106.3,2003.4,2271.6,2196,2063.4,2189.4,2343.6,2320.8,2557.5,2914.5,2977.2,2741.7,2748.3,3062.7,2655.3,3112.5,3175.8,3703.8,3390.6,3571.8,3164.1,4302.9,4252.2,4321.2,3582.6,4451.1,4792.8,4957.2,5538.6,6041.7,5059.5,6186.9,6275.4,3180.9,5846.4,6763.5,6268.2,5434.2,3755.7,5734.8,6045.9,5695.8,7225.5,4834.5
36,47,6,INDUSTRY    ,1947,1,7933,6907,6449,5850,4985,5294,7013,7573,7499,7843,7324,5672,4875,5260,5005,4980,4535,4820,5076,4432,4002,3876,3637,3024,2807,2421,1808,2355,3894,4438,4696,3620,2499,2294,2478,2729,2798,3030,3168,3195,2679,2411,2100,1742,1398,1336,1160
37,47,6,INDUSTRY    ,1947,1,3104.8,2598.8,2644.4,2620.6,2375.8,2633,3525.8,3695.2,3811.2,4037.2,3890.8,3528.4,3491.6,3878.8,3993.6,4067.8,4332.4,5026.6,5322.8,5463.8,5556,5918.4,6107.2,6158.6,6283.8,6453.4,6104.2,6663.8,7380.8,7798.4,7743.4,7389.6,6300.8,6328.4,6563.8,6781.4,6963.2,7176,6953,7182.6,6893.6,6809.6,6602,6478.2,6377.4,6418.8,6519
38,47,6,INDUSTRY    ,1947,1,4911.6,4761.5,5303.2,5696.4,6205.4,6245.1,5381.3,5289.4,6137,6574.8,6068.2,5946.2,6870.8,6615.3,6563.2,6777,7157.7,7166.7,6370.8,6372.9,7091.5,7478.9,7568.2,7818.7,8666.7,7875.9,7226.4,7707.1,6492.6,7045.4,7401.9,7413.9,8542.5,9188.2,8785,7932.8,8476.2,8247.8,8197.4,7729,7891.3,8551.6,8632.8,8290.1,8595.2,9261.3,9099.3
39,44,6,INDUSTRY    ,1950,1,4797.5,4911.5,4079,5751.5,4893,7584,6658.5,5939.5,5163,6375.5,7233,6076.5,6755,7255,7849.5,8285.5,7986,7354.5,8168,8213.5,7125,7449,8061.5,10188.5,9137.5,6420.5,9132.5,8842,8910.5,8642,6656.5,7198,5566,6890.5,6832,6787,6625,6929.5,6935.5,6927,6599.5,5678,6380,6435.5,,,
40,47,6,INDUSTRY    ,1947,1,711,696,420,297,168,111,114,91.5,130.5,192,208.5,148.5,141,264,372,571.5,753,982.5,985.5,1264.5,1398,1648.5,1962,1986,2047.5,2104.5,2943,3213,2544,3027,2878.5,2704.5,3615,4404,3835.5,2844,2499,3054,2374.5,2766,3871.5,5137.5,6693,6565.5,7630.5,8307,9024
41,46,6,INDUSTRY    ,1947,1,2512,2271,2044,1875,1313,1276,1809,1767,2021,2241,2018,1934,2123,2501,2556,2629,2740,3185,4037,4458,3689,3779,4528,4641,3635,3840,4220,4508,4418,3403,3496,4201,4985,5151,4916,3057,4015,2988,3775,4059,4148,4464,4800,4408,4178,4332,
42,46,6,INDUSTRY    ,1947,1,4475,4960,5160,6485,4479,5683,6202,5430,5465,5445,5431,4606,5214,4771,4178,4366,4913,5305,4752,5413,5843,6502,3766,3576,3318,3843,3861,5513,2994,4966,4792,5511,3413,5518,5025,5187,7147,6527,4832,6675,6573,6261,4577,4413,4420,5096,
43,46,6,INDUSTRY    ,1947,1,2034,3390,3753,4317,3252,4722,3730.5,2926.5,2752.5,2595,2208,1795.5,2913,1942.5,910.5,1344,1611,1873.5,1869,2214,4467,5446.5,1783.5,1797,2206.5,2583,2719.5,4267.5,1998,5226,5361,6306,3268.5,6897,5389.5,3897,7296,7819.5,5860.5,7546.5,7734,5856,4501.5,3925.5,4329,4336.5,
44,47,6,INDUSTRY    ,1947,1,5784,5715,5381,5655,6180,6042,4966,4295,4669,4920,4824,3738,3858,3950,4213,4586,4801,5215,5544,5194,4984,4803,5018,4846,4559,4339,4344,4535,4258,4395,4079,3027,2673,3171,3124,3032,2753,2528,2265,2030,2163,2443,2759,5154,5178,5234,4884
45,46,6,INDUSTRY    ,1947,1,671.5,810,997,1117.5,1300,1404,1643.5,1339.5,1797,2357,1530.5,1333,1615,1349,1188,1283.5,1572,1963,2141.5,2380,1889,2267,2378,2323,2398,2730.5,3453,4524,5557.5,5128.5,7021.5,6884.5,6611,6530.5,7849.5,3886.5,3168,3927,3143.5,4106,4879.5,5725.5,5818.5,5463,4993.5,3878,
46,32,6,INDUSTRY    ,1961,1,3285,3189,3596,4969,5613,6518,3148,2397,5558,5099,4334,5380,6273,5600,6039,5773,8984,9746,8267,6895,5664,3430,4006,5602,7080,5999,4701,4745,4237,4081,2605,3440,,,,,,,,,,,,,,,
47,47,6,INDUSTRY    ,1947,1,1900.5,1680.5,1445,1765,1364.5,1421,1389,1329,1635,1861,1595,1647.5,1710.5,1656.5,1641.5,1856,2123,2253.5,2553.5,2791.5,2838.5,3326.5,3567,3691,3986.5,4168.5,4562,4235,3908.5,4642.5,4696,4568,4337,3719.5,3892.5,3768,3971,4370,4633.5,4830,5208.5,5326,5686.5,5541,5485,6203,6426.5
48,23,6,MACRO       ,1970,1,3065.5,3219.5,3297,3523.5,3593.5,3675,3828,3858,4011,4169,4264.5,4423,4416,4448,4778,5000,5094,5318.5,5552,5807.5,5884,5826,5932.5,,,,,,,,,,,,,,,,,,,,,,,,
49,23,6,MACRO       ,1970,1,3275.5,3443,3656.5,3835.5,3986.5,3972,4154,4342.5,4345,4551,4684,4670.5,4720.5,4814.5,4880,5000,5059,5143,5352,5556,5810.5,5983.5,6074,,,,,,,,,,,,,,,,,,,,,,,,
50,23,6,MACRO       ,1970,1,2772.5,2932,3100,3339,3486,3576.5,3797,3934.5,4114.5,4273.5,4337,4496.5,4351.5,4489.5,4772.5,5000,5166,5381,5649,5780,5752,5654,5704,,,,,,,,,,,,,,,,,,,,,,,,
51,23,6,MACRO       ,1970,1,3350,3510,3665.5,3865,3985,3974,4142.5,4276,4419.5,4562.5,4636.5,4691,4810.5,4844,4907.5,5000,5126,5241.5,5477,5710,5855,5897.5,5977,,,,,,,,,,,,,,,,,,,,,,,,
52,23,6,MACRO       ,1970,1,3618,3723.5,3884,4075,4090.5,4033,4231.5,4360,4493,4680,4730,4740,4690,4762,4895.5,5000,5110.5,5177.5,5363.5,5548.5,5841.5,6061,6129.5,,,,,,,,,,,,,,,,,,,,,,,,
53,22,6,MACRO       ,1970,1,2953.5,3164,3445,3697,3562.5,3778,4018.5,4156.5,4434.5,4598.5,4679,4681.5,4700,4719,4848.5,5000,5081,5047,5252.5,5435,5432,5530.5,,,,,,,,,,,,,,,,,,,,,,,,,
54,23,6,MACRO       ,1970,1,3237.5,3294.5,3386,3619,3805.5,3710,3951.5,4086,4234.5,4481,4664.5,4690.5,4700.5,4746,4873.5,5000,5146,5307.5,5523,5685.5,5807,5879.5,5934.5,,,,,,,,,,,,,,,,,,,,,,,,
55,23,6,MACRO       ,1970,1,2663.5,2779.5,3012.5,3242.5,3216,3310.5,3450,3614.5,3793.5,4007.5,4146.5,4287,4433,4556.5,4753.5,5000,5132,5354.5,5688.5,5963,6248.5,6502.5,6602,,,,,,,,,,,,,,,,,,,,,,,,
56,23,6,MACRO       ,1970,1,3488,3635.5,3755.5,3932,4088,4084,4293,4395.5,4609.5,4720,4762.5,4729,4660.5,4725,4874,5000,5100.5,5149,5283.5,5531,5745.5,5874.5,5963,,,,,,,,,,,,,,,,,,,,,,,,
57,23,6,MACRO       ,1970,1,2669.5,2791.5,2936,3056.5,3215,3349,3577.5,3705.5,3878,4073,4246,4283,4295,4493.5,4751.5,5000,5210,5317,5295,5325.5,5419.5,5519.5,5679,,,,,,,,,,,,,,,,,,,,,,,,
58,23,6,MACRO       ,1970,1,2160.5,2285.5,2532.5,2688,2622,2307,2746.5,3021,3300,3344.5,3188,3345,3344.5,3762,4704,5000,5330.5,5576.5,5781.5,5998.5,6178.5,6172.5,6764,,,,,,,,,,,,,,,,,,,,,,,,
59,47,6,FINANCE     ,1947,1,115.28,128.83,107.14,217.77,212.53,173.28,166.61,280.75,378.68,350.19,320.59,382.64,518.64,452.19,638.02,547.32,643.14,721.47,892.25,1230.34,1617.46,1963.58,1752.5,1311.23,1850.28,2044.24,1778.78,1184.34,1572.6,1949.69,1872.03,2492.17,2997.5,4758.5,4906.88,6026.7,9571.39,9592.35,11994.2,17051.24,22841.66,15870.12,18448.48,16116.67,17762.75,20332,26099.16
60,47,6,FINANCE     ,1947,1,142.2,162.3,143.4,257.1,235.8,188.1,190.2,298.2,363.6,325.2,321,391.8,481.5,416.7,603,499.2,551.4,613.5,776.1,956.4,1351.2,1593.6,1488.6,1361.7,1774.8,1893,1716.9,1453.8,1869.6,2110.8,2106.9,2845.2,3255,4645.8,4773,6724.2,9043.8,9135.3,11113.8,14501.4,19131.3,15759.9,16271.7,16001.4,17409.3,19650.3,24874.5
61,47,6,FINANCE     ,1947,1,194.12,218.46,179.96,374.5,363.7,294.4,284.36,484.98,654.9,595.74,549.02,655.08,869.52,759.2,1053.98,946.82,1097.74,1208.48,1464,1971.3,2506.58,2899.56,2592.06,2061.26,2941.96,3194,2929.02,1983.56,2676.38,3290.9,3145,4207.94,5021.96,7953.4,8318.26,10285.26,16302.26,16454.28,20463.58,28964.7,39666.22,27554.22,31537.98,27781.68,30636.26,35104.84,45525.66
62,47,6,FINANCE     ,1947,1,101.1,117.9,105.9,196.5,174,129.6,134.7,210.9,246,209.7,214.2,276.6,311.7,287.4,387.6,356.1,405.3,444.6,542.7,661.5,865.8,989.7,952.2,963.9,1279.5,1348.8,1301.1,1146.6,1516.8,1694.7,1683.9,2285.1,2602.5,3717,3852.9,5463.3,7275.9,7545,9066.6,11745,15911.4,13205.4,13242,13147.8,14302.2,15989.7,20620.2
63,47,6,FINANCE     ,1947,1,136.62,134.1,152.58,187.62,218.96,241.08,234.52,338.3,415.4,438.36,391.14,553.34,615.42,613.94,775.68,691.7,822.64,948.64,1074.96,965.08,1211.64,1384.68,1258.9,1224.98,1483.66,1743.08,1442.02,1022.12,1370.22,1716.6,1593.28,1645.48,1921.22,2485.6,2287.58,2610.72,3168.32,3172.2,3900.66,4398.52,4432.62,4914.92,6059.3,5639.56,7425.68,8070,9070
64,46,6,FINANCE     ,1947,1,190.7,201.8,216.6,235.3,261.6,278.8,292.7,317.4,383.6,446.2,480.4,501.7,584.7,645.8,708.8,765.9,810.8,922.9,1005.8,1093.9,1162.2,1319.6,1508.2,1552.2,1750,1915.9,2096.7,2173.7,2247.8,2450,2757.3,3003.3,3370.9,3829.8,3951.6,4511.8,4909.2,5242.7,5962,7180.2,7609.3,8279.7,9073.2,9962.2,11583.9,13100.4,
65,23,6,FINANCE     ,1972,1,3091.01,3070.16,3005.78,2945.97,2714.61,2802.95,3128.65,3259.07,3271.43,3302.74,3582.35,4072.64,3834.09,4289.88,4767.38,5504.4,5253.62,5129.83,5549.08,5565.09,5323.31,5306.06,5648.16,,,,,,,,,,,,,,,,,,,,,,,,
66,26,6,FINANCE     ,1969,1,2145.6,2022.4,2176.2,2161.86,2402.56,2427.16,2379.72,2345.04,2658.76,3090.22,3077.54,3047.46,2760.68,2712.32,2605.64,2590.5,3070.08,3377.22,3687.94,3210.04,3043.06,3301.42,3306.02,3495.52,3637.18,4095.76,,,,,,,,,,,,,,,,,,,,,
67,24,6,FINANCE     ,1971,1,5148.44,5024.66,4789.2,4194.62,4333.78,3896.2,3676.92,3483.02,3275.14,3522.42,3697.9,3681.52,4049.82,4322.72,3796.14,3353.98,3191.98,3381.74,3105.36,3037.94,3057.98,3122.36,3335.82,3239.4,,,,,,,,,,,,,,,,,,,,,,,
68,23,6,FINANCE     ,1972,1,4003.91,4081.71,4277.56,4520.41,5565.1,5732.72,5215.05,4885.95,4866.45,6212.98,7045.62,8046.78,9225.54,9456.15,7431.28,6729.17,6564.67,7055.43,6045.88,6212.98,5877.21,6772.49,6686.28,,,,,,,,,,,,,,,,,,,,,,,,
69,24,6,FINANCE     ,1971,1,4557.98,4257.69,4053.59,4613.23,4656.19,5347.15,5321.14,5661.84,5958.07,5401.08,5159.85,5624.67,5803.49,5920.57,8065.94,9199.68,9817.72,7864.99,8289.14,9198.63,9413.2,9984.03,10142.96,9396.56,,,,,,,,,,,,,,,,,,,,,,,
70,46,6,DEMOGRAPHIC ,1948,1,1045.24,1056.1,1061.64,1067.64,1076.17,1092.87,1104.63,1117.47,1129.19,1142.13,1155.74,1171.17,1191.06,1206.71,1222.14,1244.22,1265.03,1284.59,1301.8,1320.92,1342.81,1365.73,1392.03,1421.89,1459.39,1488.7,1518.41,1548.31,1578.18,1606.89,1635.41,1664.6,1693.49,1717.75,1739.39,1758.91,1780.8,1799.12,1822.93,1844.9,1863.22,1880.81,1896.86,1913.29,1931.42,1950.34,
71,46,6,DEMOGRAPHIC ,1948,1,1030.68,1039.94,1049.95,1046.21,1052.31,1070.56,1083.21,1096.83,1109.54,1122.65,1137.27,1153.29,1172.45,1187.71,1201.53,1224.16,1244.85,1265.13,1280.58,1298.74,1320.28,1343.35,1370.85,1402.16,1441.26,1470.96,1501.2,1531.53,1561.5,1590.33,1619.11,1648.63,1677.45,1701.3,1722.71,1742.15,1763.83,1782.06,1805.87,1827.53,1846.13,1863.93,1880.49,1897.65,1915.76,1935.5,
72,47,6,DEMOGRAPHIC ,1947,1,4914.8,5071.4,4999.3,5175.8,5323.5,5374.9,5491.9,5390.4,5572.2,5751.4,5812.3,5745,5906.5,6031.8,6054.6,6175.9,6307.6,6478.2,6672.6,6891.5,7052.7,7210.3,7429.6,7521.5,7597.2,7866.9,8159.4,8327.9,8243.8,8542.1,8873.4,9266.1,9547.7,9593.8,9703,9612.5,9745,10168.5,10397.1,10643.4,10923.2,11180.1,11413.2,11472.9,11364.4,11439,11622.9
73,47,6,DEMOGRAPHIC ,1947,1,3900,3800,5900,5300,3300,3000,2900,5500,4400,4100,4300,6800,5500,5500,6700,5500,5700,5200,4500,3800,3800,3600,3500,4900,5900,5600,4900,5600,8500,7700,7100,6100,5800,7100,7600,9700,9600,7500,7200,7000,6200,5500,5300,5500,6700,7400,6800
74,46,6,DEMOGRAPHIC ,1948,1,3200,5400,4700,2500,2400,2500,4900,3800,3400,3600,6200,4700,4700,5700,4600,4500,3900,3200,2500,2300,2200,2100,3500,4400,4000,3300,3800,6800,5900,5200,4300,4200,5900,6300,8800,8900,6600,6200,6100,5400,4800,4500,5000,6400,7100,6400,
75,46,6,DEMOGRAPHIC ,1948,1,3600,5300,5100,4000,3200,2900,5500,4400,4200,4100,6100,5200,5100,6300,5400,5400,5200,4500,3800,4200,3800,3700,4800,5700,5400,4900,5500,8000,7400,7000,6000,5700,6400,6800,8300,8100,6800,6600,6200,5400,4900,4700,4800,5700,6300,5900,
76,46,6,DEMOGRAPHIC ,1948,1,920,1340,1220,820,850,760,1260,1100,1110,1160,1590,1460,1470,1680,1470,1720,1620,1480,1280,1290,1270,1220,1530,1690,1620,1450,1600,1990,1900,1780,1640,1610,1780,1960,2320,2240,1890,1860,1830,1690,1530,1500,1550,1870,2000,1900,
77,40,6,DEMOGRAPHIC ,1954,1,5000,3900,3600,3800,6100,4800,5000,6000,4900,5000,4600,4100,3400,3400,3200,3100,4500,5400,5100,4300,5000,7800,7000,6200,5200,5100,6300,6700,8600,8400,6500,6200,6000,5300,4700,4500,4800,6000,6500,6000,,,,,,,
78,22,6,DEMOGRAPHIC ,1972,1,1040,940,1050,1480,1400,1400,1280,1230,1430,1560,1890,1950,1590,1510,1450,1300,1170,1150,1130,1240,1410,1290,,,,,,,,,,,,,,,,,,,,,,,,,
79,21,6,DEMOGRAPHIC ,1973,1,7500,8100,12200,11500,10100,9100,8300,10100,10400,13800,13700,10700,10500,10600,8800,8100,8000,8100,9900,11500,10600,,,,,,,,,,,,,,,,,,,,,,,,,,
80,26,6,DEMOGRAPHIC ,1968,1,4400,4400,5400,7300,7200,7100,7000,10000,10100,9400,8500,8300,9200,10400,11700,12200,10400,10400,9800,9200,8100,8000,8200,9200,9900,9600,,,,,,,,,,,,,,,,,,,,,
81,46,6,DEMOGRAPHIC ,1948,1,4500,7300,6300,3900,3600,3400,6700,5100,4700,4900,7900,6100,6200,7500,6100,6100,5400,4600,3800,3900,3600,3500,5200,6200,5700,4900,5700,9100,7900,7100,5900,5800,7400,7700,10100,9900,7400,7200,7000,6200,5500,5400,5700,7000,7700,7000,
82,25,6,DEMOGRAPHIC ,1971,1,3958,7180,7302,6225,5804,6535,7652,7617,7292,5949,3753,2069,4902,5032,3579,6275,9590,4694,3794,3932,3623,5320,7666,12045,5263,,,,,,,,,,,,,,,,,,,,,,
