Series,N,NF,Category,Starting Year,Starting Quarter,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
123,71,8,INDUSTRY    ,1976,1,2001.5,2055,2182,2152.5,2222.5,2325.5,2482,2478.5,2505.5,2629,2801.5,2827,2958,3104.5,3703.5,3733,3984.5,4229.5,4470,4259.5,4353.5,4650.5,4322,4602.5,4510,4555.5,4746.5,4590,4542,4738.5,5015.5,4819.5,4967,5585,5459,5435.5,5310,5592,5858,5811.5,6131.5,6051,6185.5,6056,6281.5,6595,7112,7178.5,7148,7449.5,7759.5,7747.5,8037,8243.5,8674.5,8756,9054,9197,9944,10750.5,9454,9471,9861,9685.5,9703,9957,10435.5,10202,10032.5,10175.5,10451.5,
124,71,8,INDUSTRY    ,1976,1,1549.5,1746.5,1869.5,1784,1795,1942.5,2100,2072.5,2075,2278,2451,2290.5,2388,2574.5,2939.5,2924,3087.5,3259.5,3474.5,3376,3496,3771.5,3743,3474.5,3405,3684.5,3804,3470.5,3453.5,3842,4156.5,4055,4133.5,4552,4588,4423.5,4462.5,4846,4869.5,4637,4841,5114.5,5374.5,5166.5,5236.5,5740.5,5992,5842,5844.5,6384.5,6487,6372,6583.5,6990,6874,6710,6924,7428.5,7415.5,7228.5,6734,7158.5,7192,7031,7186,7164.5,7370,7171,7547.5,7937,8051,
125,71,8,INDUSTRY    ,1976,1,1592.5,1622,1719.5,1727.5,1790,1847.5,1955.5,1989.5,2027,2103.5,2204,2250.5,2407,2444,2916.5,2994,3194,3291.5,3397,3318,3508,3699.5,3739.5,3668.5,3676.5,3640,3717.5,3942.5,3786.5,3869,3994.5,3943,4089.5,4243.5,4302,4271,4405,4509.5,4648,4743,5100,4940,4987,4935,5198.5,5350.5,5602,5780.5,5786.5,5916,6027.5,6121.5,6384,6411,6615,6819.5,7051.5,7033.5,7400,8005.5,7107.5,7044.5,7083.5,7143.5,7158.5,7280.5,7458.5,7513,7427,7497,7580,
126,35,8,INDUSTRY    ,1985,1,3282.5,3401.5,3625.5,3247.5,3365,3454,4277.5,4288,3573,4301.5,4461.5,4186,3256,3812.5,4092.5,4752,3760.5,4508,4374,3546.5,3765,4963.5,4764,4618.5,4199,5536.5,4913,4978,4997,4841,4740.5,5215.5,4475,4792.5,5398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,35,8,INDUSTRY    ,1985,1,4730,5055,4560,4610,4905,4785,5085,4725,5845,6180,5710,5740,6135,6450,6680,6620,6500,6515,6110,5855,5205,5920,5375,4815,4835,4825,4995,5165,5115,4765,5600,4890,4760,5030,4960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,35,8,INDUSTRY    ,1985,1,3344.8,3503.6,3457,3574,3583.2,3616.8,3746.4,3768,3878.8,3841.8,3922,4096.2,4159.2,4132.6,4012,4312.2,4336.4,3796.8,3826.2,3771,3883.8,4154.8,4282.6,4555.6,4057.4,3817.2,3650.6,3836,3732,3730.8,3754.4,3633,3730,4462.4,4422.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,35,8,INDUSTRY    ,1985,1,6177,5902,6064,6028,6434,6431,6651,6720,7054,7159,7907,7956,7799,7732,8406,7648,7597,7898,7077,7472,8289,8400,9811,8746,8220,8307,8851,8592,8681,9018,9143,8819,7870,8146,8129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,35,8,INDUSTRY    ,1985,1,3968.5,3904.5,3764.5,3990,4107.5,4257,4271.5,4371.5,4330,4515.5,4514.5,4752.5,4613,4884,5271,5292.5,5466,5157.5,6271.5,6138.5,5145.5,5368,5036.5,5015.5,4708.5,5399,5196,5138,6493,6908.5,6884.5,5723,6109.5,6998,6306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,51,8,INDUSTRY    ,1981,1,11178,9853,11175,10580,8828,7507,6270,5509,5579,6451,6753,7025,7696,8227,7522,7115,7211,7601,7150,6689,7252,7156,5513,5618,5937,7073,7438,7589,7846,8112,8195,8251,8006,8194,8302,8181,7364,7449,7003,6859,5967,5706,6256,6117,5892,5850,5837,5831,5711,5885,5894,,,,,,,,,,,,,,,,,,,,,
132,51,8,INDUSTRY    ,1981,1,7586,4990,5198,6724,7455,7871,7969,8190,5781,4569,3875,3518,3153,2966,3441,3716,3471,3279,3217,2553,2319,2174,2141,2066,1853,1546,1436,1064,956,1140,1271,1583,1167,1264,1763,1919,1972,1929,1840,1918,2093,2003,2172,2107,2101,2027,2055,1883,1678,1683,1481,,,,,,,,,,,,,,,,,,,,,
133,51,8,INDUSTRY    ,1981,1,6564,4554,4805,6320,7015,7489,7639,7858,5469,4220,3577,3233,2848,2666,3146,3363,3077,2883,2831,2148,1898,1750,1747,1778,1557,1252,1177,846,769,942,1107,1420,1052,1136,1601,1703,1777,1734,1649,1674,1831,1720,1912,1856,1838,1755,1784,1616,1415,1401,1231,,,,,,,,,,,,,,,,,,,,,
134,51,8,INDUSTRY    ,1981,1,10220,4370,3940,4030,4400,3820,3300,3310,3120,3480,2980,2860,3060,3000,2950,3530,3930,3960,3860,4040,4210,4240,3940,2880,2950,2940,2590,2180,1880,1980,1640,1630,1150,1290,1620,2160,1950,1940,1910,2440,2630,2830,2600,2520,2630,2710,2710,2670,2630,2820,2500,,,,,,,,,,,,,,,,,,,,,
135,56,8,INDUSTRY    ,1980,1,6130,5910,4935,5310,4830,4805,4710,4935,4895,4805,4340,4935,5340,5260,5160,5200,5345,5155,4735,4775,5150,5010,4665,4775,5185,5515,5475,5645,5790,6085,6095,5890,6260,6275,5360,5260,5785,5960,5670,5530,6010,5635,5435,5240,5405,5740,5410,5465,5770,5860,5650,5720,5745,5715,5355,5195,,,,,,,,,,,,,,,,
136,40,8,INDUSTRY    ,1955,1,3850,4400,3200,4500,3550,4650,4250,4650,4400,5000,4550,4900,4550,5050,4600,4600,4400,5100,4750,5200,4500,5250,4950,5250,5000,5550,5250,5400,5100,5900,5550,5850,4500,6850,6300,6500,6300,7400,6700,7200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,40,8,INDUSTRY    ,1955,1,4410,4500,3570,4710,4590,4650,3600,5010,5400,5340,4200,5430,5550,5550,4020,5220,4890,5100,3870,5970,6030,6270,4830,6210,6210,5580,4140,5790,6000,5910,4410,6630,6780,6540,4890,7170,7320,6660,4860,7710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,48,8,INDUSTRY    ,1951,1,4950,5350,5200,5250,5650,5650,5300,5000,5900,6200,6950,6850,6850,6800,6500,6850,7100,7550,7750,6750,7850,8300,8200,7700,7750,7750,8200,8000,8200,8350,7800,6450,7950,8600,9000,9000,9150,9250,9500,9850,9800,9650,9250,7900,9850,7700,7750,7750,,,,,,,,,,,,,,,,,,,,,,,,
139,44,8,INDUSTRY    ,1958,1,2100,2100,2100,2400,2400,3000,3000,3900,3600,3900,4200,4200,3600,3600,3600,4200,3900,4800,4500,5100,4500,5400,4500,5100,4200,5400,6000,7500,6000,6600,7800,9000,8100,9600,8400,7800,6300,6900,6600,6900,5100,5700,5700,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,44,8,INDUSTRY    ,1958,1,2800,3000,3000,2800,2400,3000,3400,3800,3200,3600,4000,4200,3200,3400,3200,3600,3000,3600,3600,4000,2800,3600,3800,4200,3600,4400,4800,6000,4400,5200,6000,6600,6000,7400,7800,9000,8000,8400,8400,8000,6400,7800,7000,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,44,8,INDUSTRY    ,1958,1,2950,3150,2750,3300,2600,3100,3150,3650,2650,3450,3150,3900,2800,3500,3500,4000,3100,3450,3800,4000,2950,3500,3800,4350,3500,4200,4200,4950,3950,4600,4850,5700,4700,5400,5600,6400,5100,5850,5550,6750,5350,5850,6200,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,68,8,INDUSTRY    ,1955,1,3090,3410,3390,3800,3860,4060,4020,4110,4130,3980,3830,3300,3600,3610,2670,3250,4160,4370,4450,4930,5190,4410,4000,3900,4520,5080,5090,4850,5180,5440,5690,5380,5830,6460,6130,6340,6710,7020,6830,7060,7290,7680,7690,7670,7800,7990,7430,7030,7100,7750,7170,7290,8320,8730,8060,8920,8910,9210,5360,7690,9490,9580,8940,9320,8800,9710,8990,9310,,,,
143,52,8,MACRO       ,1980,1,4105,4162.5,4416,4419,4529.5,4596,4770,4865,4811.5,4682.5,4466,4291,4071,4109.5,4147,4304,4403,4566,4598.5,4671,4871,4941,5198,4990,4926,4756.5,4825,4965,4840,4970.5,4970.5,5181,5277.5,5257.5,5367.5,5762,5953.5,6035.5,6039,5689.5,5764,5467,5450,5296,5118.5,4947.5,4817.5,4777.5,4730.5,4802.5,4713,4886.5,,,,,,,,,,,,,,,,,,,,
144,52,8,MACRO       ,1980,1,5332,5131,5107,5144.5,5232.5,5156,5088.5,4951,4813,4725.5,4673.5,4548.5,4574.5,4629,4700,4749.5,4710.5,4762.5,4690,4884,4917.5,4914,5122,5046.5,5072,5148,5262.5,5253,5194,5382,5379,5427.5,5515,5660.5,5811,5688.5,6299.5,5904,5756.5,6105,6334,6298,6390,6426,6558,6687,6717,6743.5,6724,6768.5,6793,6715.5,,,,,,,,,,,,,,,,,,,,
145,52,8,MACRO       ,1980,1,4405.5,4355.5,4594,4755.5,5014,5173.5,5060,4996,4826,4499,4293.5,4401,4378.5,4457.5,4512.5,4541.5,4545,4533.5,4603,4590.5,4723.5,4942.5,5130.5,5203.5,5312,5331.5,5270,5328.5,5467,5754,6067,6250.5,6270.5,6439.5,6612.5,6634.5,6836.5,6871.5,6823,6974.5,6965,6633,6513,6335,6215,6350,6386.5,6506.5,6353,6272,6375,6295.5,,,,,,,,,,,,,,,,,,,,
146,24,8,MACRO       ,1987,1,5736,5535,5633.5,5633.5,5453,5348,5176,5062.5,5276,5421.5,5448.5,5105.5,5424.5,5232,5208.5,5199.5,5129.5,5031,5003.5,5012,4897,4657.5,4369.5,4145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,52,8,MACRO       ,1980,1,4362,4393.5,4812,4313,4602,4422.5,4631.5,4611.5,4542.5,4780,4820.5,4935.5,4708,5017,5076.5,5052.5,4846.5,4864,4899,4824.5,5049.5,5021.5,4821.5,5108,5003,4772,5112.5,5116.5,5167.5,5256.5,5230,5436,5594,5688,6017.5,6006,6137,6749.5,6837,6862.5,6794.5,6392,6032.5,6051.5,5660.5,5165.5,4850,4602.5,4583,4619.5,4311.5,3844.5,,,,,,,,,,,,,,,,,,,,
148,52,8,MACRO       ,1980,1,5437.5,5323.5,5273.5,5280,5290.5,5254,5171.5,5195.5,5170,5173,5152.5,5129,5086,4959.5,4933.5,4910.5,4892,4840.5,4798,4842,4849,4963,5088.5,5099.5,5066,5282.5,5249,5301,5286,5412,5533,5678,5787.5,5937.5,6082,6204,6390,6446,6458,6606,6687,6653,6675.5,6631,6578,6589.5,6582,6503.5,6523,6420.5,6383,6330,,,,,,,,,,,,,,,,,,,,
149,52,8,MACRO       ,1980,1,5580.5,5345.5,5261.5,5138.5,5205.5,5233.5,5082.5,4791.5,4797,4830.5,4758,4797,4741,4965,4987.5,5121.5,4875.5,4797,5099.5,5094,4713,5015.5,5099.5,5172,4976,5149.5,5211.5,5351,4870,5362.5,5407,5452,5306.5,5480,5569.5,5664.5,5860.5,5687,5872,6006,6403.5,6263.5,6403.5,6504.5,6907.5,6801,6801,6745,7142.5,6868,6739.5,6694.5,,,,,,,,,,,,,,,,,,,,
150,52,8,MACRO       ,1980,1,5262,5249,5208.5,5180,5199.5,5117.5,5016,4914,4921.5,4855.5,4770.5,4749.5,4800,4794.5,4788.5,4800,4934.5,4939,4984,5014.5,4904.5,4995,5091,5009,4997,5109,5141,5196,5235,5416,5360.5,5454.5,5664,5707,5760.5,5825,5949,5883.5,5981,6133,6264.5,6233,6198.5,6153,6117.5,6200,6326,6364.5,6262,6213.5,6139,6036,,,,,,,,,,,,,,,,,,,,
151,52,8,MACRO       ,1980,1,4443.5,4449,4451.5,4520.5,4595.5,4578,4603.5,4542,4531,4589,4596,4599.5,4529,4492,4565,4564,4639,4738,4779,4826,4852,4950.5,5048.5,5116,5105,5205.5,5287,5339.5,5430,5579.5,5816.5,6063.5,6274.5,6310,6481,6612,6868,6834.5,7088,7246,7381,7607,7719.5,7853.5,7921,7929.5,7846.5,7806,7840.5,7914.5,7773,7643.5,,,,,,,,,,,,,,,,,,,,
152,52,8,MACRO       ,1980,1,4164,4220.5,4271.5,4283.5,4494,4525.5,4595.5,4614.5,4794.5,4826,4856,4862,4992.5,4977,5007,5020,5281,5276.5,5277.5,5284.5,5468.5,5484.5,5447,5424.5,5592,5580.5,5542,5531,5630,5662,5606.5,5567,5692,5736,5691.5,5664.5,5808,5892.5,5829,5855,5993.5,6049.5,6009,6059,6175,6277,6225.5,6249,6440,6542.5,6470.5,6509.5,,,,,,,,,,,,,,,,,,,,
153,52,8,MACRO       ,1980,1,4375,4132,4223,4108,4728,4403.5,4477.5,4391,5100.5,4716.5,4805,4691.5,5231.5,4899,4981.5,4890.5,5504,5124,5222,5066.5,5776,5424.5,5498.5,5306,6017.5,5629.5,5776,5551,6288,5833.5,5929.5,5658.5,6351.5,5942,6110.5,5894,6718.5,6233,6335.5,6046,7014,6507,6613.5,6311.5,7435.5,6898,7011,6691,7779,7217,7335.5,7000.5,,,,,,,,,,,,,,,,,,,,
154,52,8,MACRO       ,1980,1,4176,4285,4287.5,4290,4437.5,4542.5,4583,4553,4762,4888.5,4879.5,4835,4929,5039.5,5027,4980,5065.5,5176,5164,5127.5,5226.5,5294.5,5289,5242,5361,5435.5,5425.5,5387.5,5476.5,5548,5559,5536,5609.5,5677,5668.5,5679,5658.5,5937,5850.5,5840.5,5894,6041,6034,6040,6060.5,6277.5,6280.5,6304,6218.5,6485.5,6439.5,6444,,,,,,,,,,,,,,,,,,,,
155,52,8,MACRO       ,1980,1,4454,4546,4503.5,4604.5,4700.5,4699,4773,4888.5,4933,4951,4935,4974.5,5028,4970,4921,5090,5250.5,5180.5,5205.5,5224,5410.5,5386,5379,5360,5416,5222,5245,5203,5284,5149,5205,5118,5363.5,5221,5322,5315.5,5522.5,5408.5,5438,5389.5,5645,5427.5,5451,5436.5,5663,5459,5482,5508.5,5787.5,5591.5,5570.5,5539.5,,,,,,,,,,,,,,,,,,,,
156,52,8,MACRO       ,1980,1,4442.5,4470.5,4489.5,4592.5,4845,4925.5,5101,4797.5,5012,4990,5120,4938.5,5041.5,4901,5072,4988,5183,5141.5,5292.5,5171.5,5499.5,5432.5,5472.5,5204,5346.5,5108.5,5109.5,4848,5007,4944,5044.5,4864.5,5041,4990,5142,5026,5244,5215.5,5301.5,5136.5,5354.5,5170,5281.5,5147,5442.5,5241.5,5341.5,5155,5493,5281,5258,5085,,,,,,,,,,,,,,,,,,,,
157,52,8,MACRO       ,1980,1,4243.5,4256.5,4271,4250.5,4589.5,4425.5,4503.5,4605,4826,4806,4786,4832,5027.5,5001.5,4950.5,5023.5,5310.5,5238,5205,5227,5441.5,5395,5372,5412.5,5667,5608,5612.5,5653.5,5871,5784,5729,5720.5,5945.5,5867,5826,5834.5,6081.5,6064,5967.5,6010.5,6129.5,6215.5,6239,6218,6295.5,6351,6536,6452,6569.5,6707,6818.5,6665.5,,,,,,,,,,,,,,,,,,,,
158,52,8,MACRO       ,1980,1,2536.7,2758.6,2659.22,2958.1,2772.08,3005.7,2846.48,3155.96,2914.52,3150.16,2946.02,3326.24,3000.2,3277.4,3123.86,3447.3,3176.46,3453.58,3276.16,3620.4,3370.54,3657.68,3482.88,3830.72,3567.56,3900.78,3721.3,4035.44,3764.62,4069.42,3818.86,4201.78,3842.14,4210.2,3950.98,4435.42,4062.24,4518.54,4204.9,4702.82,4344.02,4822.96,4559.28,5075.78,4763.44,5235.6,4926.54,5469.44,5093.8,5627.36,5216.94,5823.38,,,,,,,,,,,,,,,,,,,,
159,52,8,MACRO       ,1980,1,2056.15,2119.65,3092.85,2323.75,2003.35,1768.2,3007.5,2589.95,2159.85,2309.8,3502.1,2868.45,2346.35,2561.75,3663.45,3380.75,2810.3,2573.5,3885,3408.55,2736.45,2776,4302.05,3686.05,2996.95,3017.85,4353.4,3886.05,2891.9,3147.85,4651.9,4013.65,3481.05,3506.25,5085.3,4278.4,3821.2,3792.9,5070.3,4855.05,3875.25,4157.85,6049.45,5246.95,3645.45,3789,6515.4,5470.15,3733.5,4550.7,6830.35,5214.1,,,,,,,,,,,,,,,,,,,,
